subject_id,image_sequence_number,gender,age,lighting,view,cropped,facial_emotion,year,part,occlusion,image_filters,level_of_difficulty,image_path,face_locations,faces_found
MotM,1984,m,21,i,fr,nc,sd,2015,1,e0,Gn,e,./images/MotM_01984_m_21_i_fr_nc_sd_2015_1_e0_Gn_e.jpg,"[(171, 379, 439, 111)]",1
PetK,2257,m,20,i,nf,nc,no,2015,1,e0,Ps,e,./images/PetK_02257_m_20_i_nf_nc_no_2015_1_e0_Ps_e.jpg,"[(118, 464, 341, 241)]",1
MosK,1975,m,20,o,nf,nc,sd,2015,1,e0,Gs,e,./images/MosK_01975_m_20_o_nf_nc_sd_2015_1_e0_Gs_e.jpg,"[(142, 489, 365, 266)]",1
MeiH,1356,f,20,i,nf,nc,sd,2015,1,en,nl,e,./images/MeiH_01356_f_20_i_nf_nc_sd_2015_1_en_nl_e.jpg,"[(170, 491, 480, 170)]",1
GeoS,791,m,22,i,fr,nc,no,2015,1,e0,Gs,e,./images/GeoS_00791_m_22_i_fr_nc_no_2015_1_e0_Gs_e.jpg,"[(142, 409, 409, 141)]",1
MotM,1995,m,21,o,fr,nc,no,2015,1,e0,Gs,e,./images/MotM_01995_m_21_o_fr_nc_no_2015_1_e0_Gs_e.jpg,"[(142, 409, 409, 141)]",1
HitS,849,m,25,i,nf,nc,no,2015,1,e0,Gn,e,./images/HitS_00849_m_25_i_nf_nc_no_2015_1_e0_Gn_e.jpg,"[(112, 438, 379, 171)]",1
GeoS,790,m,22,o,fr,nc,hp,2015,1,en,nl,e,./images/GeoS_00790_m_22_o_fr_nc_hp_2015_1_en_nl_e.jpg,"[(99, 455, 420, 134)]",1
MotM,1994,m,21,i,fr,nc,hp,2015,1,en,nl,e,./images/MotM_01994_m_21_i_fr_nc_hp_2015_1_en_nl_e.jpg,"[(134, 455, 455, 134)]",1
SarN,2434,f,20,i,fr,nc,hp,2015,1,e0,Gn,e,./images/SarN_02434_f_20_i_fr_nc_hp_2015_1_e0_Gn_e.jpg,"[(98, 428, 284, 242)]",1
MerK,1396,f,20,o,nf,nc,hp,2015,1,e0,Gn,e,./images/MerK_01396_f_20_o_nf_nc_hp_2015_1_e0_Gn_e.jpg,"[(82, 409, 350, 141)]",1
MerN,1561,f,20,i,nf,nc,hp,2015,1,e0,Gn,e,./images/MerN_01561_f_20_i_nf_nc_hp_2015_1_e0_Gn_e.jpg,"[(142, 498, 409, 230)]",1
HitS,848,m,25,i,nf,nc,no,2015,1,em,nl,e,./images/HitS_00848_m_25_i_nf_nc_no_2015_1_em_nl_e.jpg,"[(142, 438, 409, 171)]",1
BesA,733,m,20,i,fr,nc,hp,2015,1,e0,Gn,e,./images/BesA_00733_m_20_i_fr_nc_hp_2015_1_e0_Gn_e.jpg,"[(116, 425, 270, 270)]",1
AshS,546,f,19,o,nf,nc,no,2015,1,e0,Ps,e,./images/AshS_00546_f_19_o_nf_nc_no_2015_1_e0_Ps_e.jpg,"[(134, 491, 455, 170)]",1
AhmG,321,m,19,o,fr,nc,no,2015,1,em,nl,e,./images/AhmG_00321_m_19_o_fr_nc_no_2015_1_em_nl_e.jpg,"[(142, 438, 409, 171)]",1
GeoS,781,m,22,o,fr,nc,sd,2015,1,em,nl,e,./images/GeoS_00781_m_22_o_fr_nc_sd_2015_1_em_nl_e.jpg,"[(134, 455, 455, 134)]",1
