subject_id,image_sequence_number,gender,age,lighting,view,cropped,facial_emotion,year,part,occlusion,image_filters,level_of_difficulty,image_path
AboA,00152,m,33,i,nf,nc,hp,2016,2,en,nl,m,./images/AboA_00152_m_33_i_nf_nc_hp_2016_2_en_nl_m.jpg
MonD,01961,f,30,o,nf,nc,hp,2016,1,en,nl,h,./images/MonD_01961_f_30_o_nf_nc_hp_2016_1_en_nl_h.jpg
BahA,00594,m,36,i,fr,nc,no,2016,2,e0,Gn,e,./images/BahA_00594_m_36_i_fr_nc_no_2016_2_e0_Gn_e.jpg
YosB,02527,f,20,i,nf,nc,hp,2016,2,e0,Gs,m,./images/YosB_02527_f_20_i_nf_nc_hp_2016_2_e0_Gs_m.jpg
SarE,02381,f,22,i,nf,nc,hp,2016,2,e0,Ps,e,./images/SarE_02381_f_22_i_nf_nc_hp_2016_2_e0_Ps_e.jpg
BahA,00717,m,36,i,fr,nc,no,2016,2,en,nl,e,./images/BahA_00717_m_36_i_fr_nc_no_2016_2_en_nl_e.jpg
AhmI,00328,m,20,o,nf,nc,hp,2009,1,em,nl,e,./images/AhmI_00328_m_20_o_nf_nc_hp_2009_1_em_nl_e.jpg
MotM,02007,m,21,i,fr,nc,hp,2015,1,e0,Gs,h,./images/MotM_02007_m_21_i_fr_nc_hp_2015_1_e0_Gs_h.jpg
MotM,01984,m,21,i,fr,nc,sd,2015,1,e0,Gn,e,./images/MotM_01984_m_21_i_fr_nc_sd_2015_1_e0_Gn_e.jpg
AhmS,00356,m,20,o,nf,nc,hp,2015,1,e0,Gn,m,./images/AhmS_00356_m_20_o_nf_nc_hp_2015_1_e0_Gn_m.jpg
BahA,00575,m,36,i,nf,nc,no,2016,2,en,nl,e,./images/BahA_00575_m_36_i_nf_nc_no_2016_2_en_nl_e.jpg
KhaS,00877,m,34,o,fr,nc,hp,2015,1,e0,nl,o,./images/KhaS_00877_m_34_o_fr_nc_hp_2015_1_e0_nl_o.jpg
BahA,00592,m,36,i,fr,nc,no,2016,2,en,nl,m,./images/BahA_00592_m_36_i_fr_nc_no_2016_2_en_nl_m.jpg
YosB,02543,f,20,i,fr,nc,no,2016,2,em,nl,e,./images/YosB_02543_f_20_i_fr_nc_no_2016_2_em_nl_e.jpg
PetK,02257,m,20,i,nf,nc,no,2015,1,e0,Ps,e,./images/PetK_02257_m_20_i_nf_nc_no_2015_1_e0_Ps_e.jpg
GeoS,00778,m,22,i,fr,nc,sd,2015,1,e0,nl,o,./images/GeoS_00778_m_22_i_fr_nc_sd_2015_1_e0_nl_o.jpg
ReeS,02272,f,26,i,nf,nc,no,2016,1,e0,nl,o,./images/ReeS_02272_f_26_i_nf_nc_no_2016_1_e0_nl_o.jpg
MazR,01329,m,22,i,fr,nc,hp,2013,1,e0,Ps,m,./images/MazR_01329_m_22_i_fr_nc_hp_2013_1_e0_Ps_m.jpg
AbdH,00131,m,23,i,nf,nc,no,2015,1,em,nl,h,./images/AbdH_00131_m_23_i_nf_nc_no_2015_1_em_nl_h.jpg
BahA,00584,m,36,i,fr,nc,hp,2016,2,e0,Gn,h,./images/BahA_00584_m_36_i_fr_nc_hp_2016_2_e0_Gn_h.jpg
YosB,02629,f,20,i,nf,nc,hp,2016,2,e0,Gs,h,./images/YosB_02629_f_20_i_nf_nc_hp_2016_2_e0_Gs_h.jpg
YosB,02553,f,20,i,fr,nc,hp,2016,2,em,nl,h,./images/YosB_02553_f_20_i_fr_nc_hp_2016_2_em_nl_h.jpg
EbrK,00769,m,24,o,fr,nc,hp,2014,1,e0,Ps,h,./images/EbrK_00769_m_24_o_fr_nc_hp_2014_1_e0_Ps_h.jpg
OliA,02141,f,20,i,fr,nc,hp,2016,2,e0,Gs,m,./images/OliA_02141_f_20_i_fr_nc_hp_2016_2_e0_Gs_m.jpg
SarE,02370,f,22,i,fr,nc,hp,2016,2,e0,Gn,h,./images/SarE_02370_f_22_i_fr_nc_hp_2016_2_e0_Gn_h.jpg
AbdA,00062,m,31,i,fr,nc,no,2016,2,e0,Gs,e,./images/AbdA_00062_m_31_i_fr_nc_no_2016_2_e0_Gs_e.jpg
BahA,00707,m,36,i,fr,nc,hp,2016,2,en,nl,h,./images/BahA_00707_m_36_i_fr_nc_hp_2016_2_en_nl_h.jpg
MahM,01018,m,26,i,fr,nc,no,2016,2,e0,Gn,e,./images/MahM_01018_m_26_i_fr_nc_no_2016_2_e0_Gn_e.jpg
MerM,01461,f,20,i,fr,nc,hp,2016,2,e0,Gs,e,./images/MerM_01461_f_20_i_fr_nc_hp_2016_2_e0_Gs_e.jpg
MotM,02006,m,21,o,fr,nc,hp,2015,1,e0,Ps,h,./images/MotM_02006_m_21_o_fr_nc_hp_2015_1_e0_Ps_h.jpg
SarE,02378,f,22,i,fr,nc,hp,2016,2,en,nl,m,./images/SarE_02378_f_22_i_fr_nc_hp_2016_2_en_nl_m.jpg
BahA,00692,m,36,i,fr,nc,no,2016,2,en,nl,e,./images/BahA_00692_m_36_i_fr_nc_no_2016_2_en_nl_e.jpg
MeiH,01364,f,20,i,fr,nc,no,2015,1,e0,Ps,h,./images/MeiH_01364_f_20_i_fr_nc_no_2015_1_e0_Ps_h.jpg
SarE,02399,f,22,i,nf,nc,hp,2016,2,e0,Gn,m,./images/SarE_02399_f_22_i_nf_nc_hp_2016_2_e0_Gn_m.jpg
MerM,01445,f,20,i,fr,nc,sd,2016,2,e0,Ps,m,./images/MerM_01445_f_20_i_fr_nc_sd_2016_2_e0_Ps_m.jpg
BahA,00694,m,36,i,fr,nc,no,2016,2,e0,Gn,m,./images/BahA_00694_m_36_i_fr_nc_no_2016_2_e0_Gn_m.jpg
YosB,02627,f,20,i,nf,nc,hp,2016,2,e0,Gs,e,./images/YosB_02627_f_20_i_nf_nc_hp_2016_2_e0_Gs_e.jpg
MohG,01844,m,32,i,fr,nc,no,2016,2,en,nl,h,./images/MohG_01844_m_32_i_fr_nc_no_2016_2_en_nl_h.jpg
AboA,00168,m,33,i,nf,nc,sd,2016,2,e0,Gs,e,./images/AboA_00168_m_33_i_nf_nc_sd_2016_2_e0_Gs_e.jpg
MahA,00941,m,28,i,fr,nc,sd,2016,2,en,nl,m,./images/MahA_00941_m_28_i_fr_nc_sd_2016_2_en_nl_m.jpg
MirM,01620,f,20,i,fr,nc,hp,2016,2,em,nl,h,./images/MirM_01620_f_20_i_fr_nc_hp_2016_2_em_nl_h.jpg
YosB,02621,f,20,i,fr,nc,hp,2016,2,e0,nl,o,./images/YosB_02621_f_20_i_fr_nc_hp_2016_2_e0_nl_o.jpg
AhmS,00357,m,20,i,fr,nc,no,2015,1,e0,nl,o,./images/AhmS_00357_m_20_i_fr_nc_no_2015_1_e0_nl_o.jpg
EbrK,00756,m,26,o,fr,cr,no,2016,1,e0,Gs,m,./images/EbrK_00756_m_26_o_fr_cr_no_2016_1_e0_Gs_m.jpg
BahA,00682,m,36,i,fr,nc,no,2016,2,e0,Ps,h,./images/BahA_00682_m_36_i_fr_nc_no_2016_2_e0_Ps_h.jpg
MarH,01302,f,27,o,nf,nc,hp,2012,1,em,nl,e,./images/MarH_01302_f_27_o_nf_nc_hp_2012_1_em_nl_e.jpg
AshS,00540,f,20,o,nf,nc,hp,2016,1,e0,Ps,m,./images/AshS_00540_f_20_o_nf_nc_hp_2016_1_e0_Ps_m.jpg
MerM,01453,f,20,i,fr,nc,sd,2016,2,e0,Gn,h,./images/MerM_01453_f_20_i_fr_nc_sd_2016_2_e0_Gn_h.jpg
MerM,01471,f,20,i,fr,nc,no,2016,2,e0,Gs,h,./images/MerM_01471_f_20_i_fr_nc_no_2016_2_e0_Gs_h.jpg
HamA,00820,m,1,o,nf,nc,no,2016,1,e0,Gn,e,./images/HamA_00820_m_1_o_nf_nc_no_2016_1_e0_Gn_e.jpg
AboA,00284,m,33,i,fr,nc,sr,2016,2,e0,Gn,m,./images/AboA_00284_m_33_i_fr_nc_sr_2016_2_e0_Gn_m.jpg
AymK,00573,m,21,o,nf,nc,hp,2012,1,e0,Gn,m,./images/AymK_00573_m_21_o_nf_nc_hp_2012_1_e0_Gn_m.jpg
