subject_id_1,subject_id_2,score
0,5,0.42
0,8,0.59
0,50,0.53
0,58,0.42
0,81,0.51
0,113,0.48
0,127,0.50
0,129,0.46
0,155,0.54
0,169,0.54
0,214,0.56
0,217,0.65
0,223,0.49
0,224,0.52
0,240,0.51
0,248,0.46
0,261,0.42
0,264,0.63
0,282,0.67
0,287,0.51
0,294,0.40
0,309,0.58
0,331,0.60
0,346,0.44
0,356,0.48
0,359,0.46
0,366,0.59
0,374,0.61
0,384,0.61
0,416,0.48
0,431,0.46
0,436,0.57
0,437,0.45
0,451,0.58
0,478,0.65
0,487,0.49
0,500,0.60
0,520,0.70
0,526,0.61
0,534,0.50
0,537,0.45
0,544,0.45
0,546,0.40
0,547,0.59
0,549,0.48
0,628,0.46
0,656,0.56
0,659,0.48
0,667,0.59
0,669,0.42
0,682,0.60
0,710,0.62
0,713,0.50
0,715,0.53
0,724,0.55
0,727,0.59
0,733,0.58
0,736,0.49
0,737,0.44
0,739,0.60
0,747,0.58
0,757,0.48
0,772,0.49
0,782,0.51
0,787,0.46
0,838,0.46
0,839,0.50
0,843,0.44
0,873,0.51
0,878,0.61
0,925,0.60
0,947,0.50
0,951,0.40
0,956,0.51
0,964,0.58
0,978,0.54
0,994,0.48
0,995,0.64
0,1016,0.71
0,1021,0.43
0,1048,0.47
0,1058,0.58
0,1060,0.41
0,1081,0.61
0,1094,0.47
0,1115,0.44
0,1117,0.49
0,1124,0.60
0,1146,0.61
0,1165,0.56
0,1174,0.58
0,1207,0.60
0,1215,0.49
0,1216,0.56
0,1217,0.49
0,1221,0.55
0,1226,0.47
0,1232,0.51
0,1236,0.48
0,1263,0.53
0,1268,0.50
0,1271,0.49
0,1275,0.48
0,1296,0.52
0,1325,0.53
0,1337,0.51
0,1350,0.52
0,1352,0.50
0,1374,0.60
0,1389,0.70
0,1399,0.54
0,1416,0.58
0,1418,0.56
0,1439,0.63
0,1448,0.42
0,1457,0.57
0,1491,0.55
0,1524,0.54
0,1525,0.40
0,1557,0.46
0,1562,0.54
0,1564,0.60
0,1586,0.51
0,1600,0.60
0,1607,0.60
0,1645,0.55
0,1647,0.49
0,1668,0.67
0,1678,0.63
0,1689,0.46
0,1692,0.46
0,1694,0.62
0,1711,0.50
0,1734,0.44
0,1745,0.54
0,1761,0.45
0,1762,0.64
0,1766,0.61
0,1815,0.53
0,1823,0.55
0,1825,0.41
0,1827,0.43
0,1831,0.58
0,1839,0.61
0,1851,0.56
0,1855,0.67
0,1860,0.77
0,1892,0.47
0,1896,0.59
0,1899,0.48
0,1912,0.57
0,1929,0.50
0,1938,0.60
0,1954,0.55
0,1957,0.44
5,0,0.42
5,8,0.42
5,50,0.47
5,58,0.44
5,81,0.45
5,113,0.51
5,127,0.53
5,129,0.50
5,155,0.39
5,169,0.45
5,214,0.57
5,217,0.54
5,223,0.44
5,224,0.54
5,240,0.43
5,248,0.55
5,261,0.56
5,264,0.48
5,282,0.44
5,287,0.62
5,294,0.50
5,309,0.45
5,331,0.35
5,346,0.49
5,356,0.59
5,359,0.60
5,366,0.33
5,374,0.46
5,384,0.55
5,416,0.53
5,431,0.49
5,436,0.57
5,437,0.46
5,451,0.55
5,478,0.51
5,487,0.58
5,500,0.36
5,520,0.41
5,526,0.48
5,534,0.44
5,537,0.67
5,544,0.66
5,546,0.71
5,547,0.52
5,549,0.52
5,628,0.51
5,656,0.60
5,659,0.47
5,667,0.53
5,669,0.64
5,682,0.39
5,710,0.43
5,713,0.44
5,715,0.65
5,724,0.39
5,727,0.54
5,733,0.52
5,736,0.58
5,737,0.54
5,739,0.54
5,747,0.49
5,757,0.56
5,772,0.50
5,782,0.45
5,787,0.61
5,838,0.54
5,839,0.58
5,843,0.47
5,873,0.49
5,878,0.50
5,925,0.56
5,947,0.52
5,951,0.46
5,956,0.56
5,964,0.50
5,978,0.49
5,994,0.72
5,995,0.49
5,1016,0.46
5,1021,0.84
5,1048,0.55
5,1058,0.51
5,1060,0.63
5,1081,0.55
5,1094,0.45
5,1115,0.44
5,1117,0.74
5,1124,0.55
5,1146,0.46
5,1165,0.48
5,1174,0.37
5,1207,0.40
5,1215,0.50
5,1216,0.61
5,1217,0.48
5,1221,0.51
5,1226,0.60
5,1232,0.43
5,1236,0.62
5,1263,0.50
5,1268,0.57
5,1271,0.42
5,1275,0.59
5,1296,0.61
